,payment_type,payment_type_id,payment_type_name
1047,1,1047,Credit card
1048,1,1048,Credit card
1049,1,1049,Credit card
1050,1,1050,Credit card
1051,1,1051,Credit card
1052,2,1052,Cash
1053,1,1053,Credit card
1054,1,1054,Credit card
1055,1,1055,Credit card
1056,1,1056,Credit card
1057,2,1057,Cash
1058,2,1058,Cash
1059,2,1059,Cash
1060,1,1060,Credit card
1061,2,1061,Cash
1062,2,1062,Cash
1063,1,1063,Credit card
1064,2,1064,Cash
1065,2,1065,Cash
1066,1,1066,Credit card
1067,1,1067,Credit card
1068,1,1068,Credit card
1069,2,1069,Cash
1070,1,1070,Credit card
1071,1,1071,Credit card
1072,1,1072,Credit card
1073,1,1073,Credit card
1074,1,1074,Credit card
1075,1,1075,Credit card
1076,1,1076,Credit card
1077,1,1077,Credit card
1078,1,1078,Credit card
1079,1,1079,Credit card
1080,1,1080,Credit card
1081,1,1081,Credit card
1082,1,1082,Credit card
1083,2,1083,Cash
1084,2,1084,Cash
1085,1,1085,Credit card
1086,1,1086,Credit card
1087,1,1087,Credit card
1088,1,1088,Credit card
1089,1,1089,Credit card
1090,2,1090,Cash
1091,1,1091,Credit card
1092,1,1092,Credit card
1093,2,1093,Cash
1094,1,1094,Credit card
1095,1,1095,Credit card
1096,1,1096,Credit card
1097,1,1097,Credit card
1098,1,1098,Credit card
1099,2,1099,Cash
1100,1,1100,Credit card
1101,1,1101,Credit card
1102,1,1102,Credit card
1103,2,1103,Cash
1104,1,1104,Credit card
1105,1,1105,Credit card
1106,1,1106,Credit card
1107,1,1107,Credit card
1108,1,1108,Credit card
1109,1,1109,Credit card
1110,1,1110,Credit card
1111,1,1111,Credit card
1112,1,1112,Credit card
1113,1,1113,Credit card
1114,2,1114,Cash
1115,2,1115,Cash
1116,1,1116,Credit card
1117,2,1117,Cash
1118,2,1118,Cash
1119,3,1119,No charge
1120,1,1120,Credit card
1121,1,1121,Credit card
1122,1,1122,Credit card
1123,1,1123,Credit card
1124,1,1124,Credit card
1125,1,1125,Credit card
1126,1,1126,Credit card
1127,1,1127,Credit card
1128,2,1128,Cash
1129,1,1129,Credit card
1130,2,1130,Cash
1131,1,1131,Credit card
1132,1,1132,Credit card
1133,1,1133,Credit card
1134,1,1134,Credit card
1135,2,1135,Cash
1136,1,1136,Credit card
1137,1,1137,Credit card
1138,1,1138,Credit card
1139,1,1139,Credit card
1140,1,1140,Credit card
1141,2,1141,Cash
1142,1,1142,Credit card
1143,1,1143,Credit card
1144,2,1144,Cash
1145,1,1145,Credit card
1146,1,1146,Credit card
1147,1,1147,Credit card
1148,1,1148,Credit card
1149,2,1149,Cash
1150,1,1150,Credit card
1151,1,1151,Credit card
1152,1,1152,Credit card
1153,1,1153,Credit card
1154,1,1154,Credit card
1155,1,1155,Credit card
1156,1,1156,Credit card
1157,1,1157,Credit card
1158,1,1158,Credit card
1159,1,1159,Credit card
1160,1,1160,Credit card
1161,2,1161,Cash
1162,1,1162,Credit card
1163,1,1163,Credit card
1164,1,1164,Credit card
1165,2,1165,Cash
1166,1,1166,Credit card
1167,1,1167,Credit card
1168,2,1168,Cash
1169,2,1169,Cash
1170,2,1170,Cash
1171,1,1171,Credit card
1172,1,1172,Credit card
1173,1,1173,Credit card
1174,1,1174,Credit card
1175,2,1175,Cash
1176,1,1176,Credit card
1177,1,1177,Credit card
1178,2,1178,Cash
1179,1,1179,Credit card
1180,1,1180,Credit card
1181,2,1181,Cash
1182,1,1182,Credit card
1183,2,1183,Cash
1184,1,1184,Credit card
1185,1,1185,Credit card
1186,1,1186,Credit card
1187,1,1187,Credit card
1188,2,1188,Cash
1189,1,1189,Credit card
1190,1,1190,Credit card
1191,2,1191,Cash
1192,1,1192,Credit card
1193,1,1193,Credit card
1194,1,1194,Credit card
1195,1,1195,Credit card
1196,1,1196,Credit card
1197,1,1197,Credit card
1198,1,1198,Credit card
1199,1,1199,Credit card
1200,1,1200,Credit card
1201,1,1201,Credit card
1202,2,1202,Cash
1203,2,1203,Cash
1204,1,1204,Credit card
1205,1,1205,Credit card
1206,1,1206,Credit card
