,rate_code_id,RatecodeID,rate_code_name
657,657,1,Standard rate
658,658,1,Standard rate
659,659,1,Standard rate
660,660,2,JFK
661,661,1,Standard rate
662,662,1,Standard rate
663,663,1,Standard rate
664,664,1,Standard rate
665,665,1,Standard rate
666,666,1,Standard rate
667,667,1,Standard rate
668,668,1,Standard rate
669,669,1,Standard rate
670,670,1,Standard rate
671,671,1,Standard rate
672,672,1,Standard rate
673,673,1,Standard rate
674,674,1,Standard rate
675,675,2,JFK
676,676,1,Standard rate
677,677,1,Standard rate
678,678,1,Standard rate
679,679,1,Standard rate
680,680,1,Standard rate
681,681,1,Standard rate
682,682,1,Standard rate
683,683,1,Standard rate
684,684,1,Standard rate
685,685,1,Standard rate
686,686,1,Standard rate
687,687,1,Standard rate
688,688,1,Standard rate
689,689,1,Standard rate
690,690,1,Standard rate
691,691,1,Standard rate
692,692,1,Standard rate
693,693,1,Standard rate
694,694,1,Standard rate
695,695,1,Standard rate
696,696,1,Standard rate
697,697,1,Standard rate
698,698,1,Standard rate
699,699,1,Standard rate
700,700,1,Standard rate
701,701,1,Standard rate
702,702,1,Standard rate
703,703,1,Standard rate
704,704,1,Standard rate
705,705,1,Standard rate
706,706,1,Standard rate
707,707,1,Standard rate
708,708,1,Standard rate
709,709,1,Standard rate
710,710,1,Standard rate
711,711,1,Standard rate
712,712,1,Standard rate
713,713,1,Standard rate
714,714,1,Standard rate
715,715,1,Standard rate
716,716,1,Standard rate
717,717,1,Standard rate
718,718,1,Standard rate
719,719,1,Standard rate
720,720,1,Standard rate
721,721,1,Standard rate
722,722,1,Standard rate
723,723,1,Standard rate
724,724,1,Standard rate
725,725,1,Standard rate
726,726,1,Standard rate
727,727,1,Standard rate
728,728,1,Standard rate
729,729,1,Standard rate
730,730,1,Standard rate
731,731,1,Standard rate
732,732,1,Standard rate
733,733,1,Standard rate
734,734,1,Standard rate
735,735,1,Standard rate
736,736,1,Standard rate
737,737,1,Standard rate
738,738,1,Standard rate
739,739,1,Standard rate
740,740,1,Standard rate
741,741,1,Standard rate
742,742,1,Standard rate
743,743,1,Standard rate
744,744,1,Standard rate
745,745,1,Standard rate
746,746,1,Standard rate
747,747,1,Standard rate
748,748,1,Standard rate
749,749,1,Standard rate
750,750,1,Standard rate
751,751,1,Standard rate
752,752,1,Standard rate
753,753,1,Standard rate
754,754,1,Standard rate
755,755,1,Standard rate
756,756,1,Standard rate
757,757,1,Standard rate
758,758,1,Standard rate
759,759,1,Standard rate
760,760,1,Standard rate
761,761,1,Standard rate
762,762,1,Standard rate
763,763,1,Standard rate
764,764,1,Standard rate
765,765,1,Standard rate
766,766,1,Standard rate
767,767,1,Standard rate
768,768,1,Standard rate
769,769,1,Standard rate
770,770,2,JFK
771,771,2,JFK
772,772,1,Standard rate
773,773,1,Standard rate
774,774,1,Standard rate
775,775,1,Standard rate
776,776,1,Standard rate
777,777,1,Standard rate
778,778,1,Standard rate
779,779,1,Standard rate
780,780,1,Standard rate
781,781,1,Standard rate
782,782,1,Standard rate
783,783,1,Standard rate
784,784,1,Standard rate
785,785,1,Standard rate
786,786,1,Standard rate
787,787,1,Standard rate
788,788,1,Standard rate
789,789,1,Standard rate
790,790,1,Standard rate
791,791,1,Standard rate
792,792,1,Standard rate
793,793,1,Standard rate
794,794,1,Standard rate
795,795,1,Standard rate
796,796,1,Standard rate
797,797,1,Standard rate
798,798,1,Standard rate
799,799,1,Standard rate
800,800,1,Standard rate
801,801,1,Standard rate
802,802,1,Standard rate
803,803,1,Standard rate
804,804,1,Standard rate
805,805,1,Standard rate
806,806,1,Standard rate
807,807,1,Standard rate
808,808,1,Standard rate
809,809,1,Standard rate
810,810,1,Standard rate
811,811,1,Standard rate
812,812,1,Standard rate
813,813,1,Standard rate
814,814,2,JFK
815,815,1,Standard rate
816,816,1,Standard rate
817,817,1,Standard rate
818,818,1,Standard rate
819,819,1,Standard rate
820,820,1,Standard rate
821,821,1,Standard rate
822,822,1,Standard rate
823,823,1,Standard rate
824,824,1,Standard rate
825,825,1,Standard rate
826,826,1,Standard rate
827,827,1,Standard rate
828,828,1,Standard rate
829,829,1,Standard rate
830,830,1,Standard rate
831,831,1,Standard rate
832,832,1,Standard rate
833,833,1,Standard rate
834,834,1,Standard rate
835,835,1,Standard rate
836,836,1,Standard rate
837,837,1,Standard rate
838,838,1,Standard rate
839,839,1,Standard rate
840,840,1,Standard rate
841,841,1,Standard rate
842,842,1,Standard rate
843,843,1,Standard rate
844,844,1,Standard rate
845,845,1,Standard rate
846,846,1,Standard rate
847,847,1,Standard rate
848,848,2,JFK
849,849,1,Standard rate
850,850,1,Standard rate
851,851,1,Standard rate
852,852,1,Standard rate
853,853,1,Standard rate
854,854,1,Standard rate
855,855,1,Standard rate
856,856,1,Standard rate
857,857,1,Standard rate
858,858,1,Standard rate
859,859,1,Standard rate
860,860,1,Standard rate
861,861,1,Standard rate
862,862,1,Standard rate
863,863,1,Standard rate
864,864,1,Standard rate
865,865,1,Standard rate
866,866,1,Standard rate
867,867,1,Standard rate
868,868,1,Standard rate
869,869,1,Standard rate
870,870,1,Standard rate
871,871,1,Standard rate
872,872,1,Standard rate
873,873,1,Standard rate
874,874,1,Standard rate
875,875,1,Standard rate
876,876,1,Standard rate
877,877,1,Standard rate
878,878,1,Standard rate
879,879,1,Standard rate
880,880,1,Standard rate
881,881,1,Standard rate
882,882,1,Standard rate
883,883,1,Standard rate
884,884,1,Standard rate
885,885,1,Standard rate
886,886,1,Standard rate
887,887,1,Standard rate
888,888,1,Standard rate
889,889,1,Standard rate
890,890,1,Standard rate
891,891,1,Standard rate
892,892,1,Standard rate
893,893,1,Standard rate
894,894,1,Standard rate
895,895,1,Standard rate
896,896,1,Standard rate
897,897,1,Standard rate
898,898,1,Standard rate
899,899,1,Standard rate
900,900,1,Standard rate
901,901,1,Standard rate
902,902,1,Standard rate
903,903,1,Standard rate
904,904,1,Standard rate
905,905,1,Standard rate
906,906,1,Standard rate
907,907,1,Standard rate
908,908,1,Standard rate
909,909,1,Standard rate
910,910,1,Standard rate
911,911,1,Standard rate
912,912,1,Standard rate
913,913,1,Standard rate
914,914,1,Standard rate
915,915,1,Standard rate
916,916,1,Standard rate
917,917,1,Standard rate
918,918,1,Standard rate
919,919,1,Standard rate
920,920,1,Standard rate
921,921,1,Standard rate
922,922,1,Standard rate
923,923,1,Standard rate
924,924,1,Standard rate
925,925,1,Standard rate
926,926,1,Standard rate
927,927,1,Standard rate
928,928,1,Standard rate
929,929,1,Standard rate
930,930,1,Standard rate
931,931,1,Standard rate
932,932,1,Standard rate
933,933,1,Standard rate
934,934,1,Standard rate
935,935,1,Standard rate
936,936,1,Standard rate
937,937,1,Standard rate
938,938,1,Standard rate
939,939,1,Standard rate
940,940,1,Standard rate
941,941,1,Standard rate
942,942,1,Standard rate
943,943,1,Standard rate
944,944,1,Standard rate
945,945,1,Standard rate
946,946,1,Standard rate
947,947,1,Standard rate
948,948,1,Standard rate
949,949,1,Standard rate
950,950,1,Standard rate
951,951,1,Standard rate
